Time (h),pH,pHs,O2,CO2,Ts,mys,N2flow,N2s,T,ODa
0:00,5.8,,20.86,0.05,,,0,,28,0
1:00,5.9,,20.82,0.08,,,0,,28,19
2:00,5.9,,20.8,0.08,,,0,,28,23.3
3:00,5.9,,20.81,0.08,,,0,,28,26
4:00,5.9,,20.77,0.08,,,0,,28,28.2
5:00,5.9,,20.79,0.09,,,0,,28,30.1
6:00,5.9,,20.76,0.09,,,0,,28,31.9
7:00,5.9,,20.78,0.1,,,0,,28,33.9
8:00,5.9,,20.77,0.1,,,0,,28,36.6
9:00,5.9,,20.76,0.11,,,0,,28,39.4
10:00,5.9,,20.75,0.11,,,0,,28,42.5
11:00,5.9,,20.75,0.12,,,0,,28,45.6
12:00,5.9,,20.74,0.12,,,0,,28,48.8
13:00,5.9,,20.73,0.13,,,0,,28,52.2
14:00,5.9,,20.77,0.13,,,0,,28,56
15:00,5.9,,20.71,0.14,,,0,,28,60
16:00,5.9,,20.73,0.15,,,0,,28,64.1
17:00,5.9,,20.73,0.16,,,0,,28,68.2
18:00,5.9,,20.73,0.17,,,0,,28,72.6
19:00,5.9,,20.73,0.18,,,0,,28,77.4
20:00,5.9,,20.71,0.19,,,0,,28,82.5
21:00,5.9,,20.69,0.19,,,0,,28,87.7
22:00,5.9,,20.7,0.2,,,0,,28,92.7
23:00,5.9,,20.66,0.21,,,0,,28,97.9
24:00,5.9,,20.68,0.22,,,0,,28,103.3
25:00,5.9,,20.7,0.23,,,0,,28,109.3
26:00,5.9,,20.69,0.24,,,0,,28,115.6
27:00,5.9,,20.67,0.25,,,0,,28,122.4
28:00,5.9,,20.64,0.26,,,0,,28,129.8
29:00,5.9,,20.64,0.28,,,0,,28,136.8
30:00,5.9,,20.63,0.29,,,0,,28,144.3
31:00,5.9,,20.59,0.31,,,0,,28,152.5
32:00,5.9,,20.6,0.33,,,0,,28,160.5
33:00,5.9,,20.55,0.34,,,0,,28,169.6
34:00,5.9,,20.55,0.36,,,0,,28,180
35:00,5.9,,20.55,0.39,,,0,,28,190.6
36:00,5.9,,20.5,0.41,,,0,,28,202.5
37:00,5.9,,20.49,0.44,,,0,,28,215.1
38:00,5.9,,20.47,0.47,,,0,,28,227.1
39:00,5.9,,20.41,0.5,,,0,,28,241.3
40:00,5.9,,20.36,0.53,,,0,,28,256
41:00,5.9,,20.35,0.56,,,0,,28,270.3
42:00,5.9,,20.32,0.6,,,0,,28,286.2
43:00,5.9,,20.29,0.64,,,0,,28,302.1
44:00,5.9,,20.24,0.68,,,0,,28,319.9
45:00,5.9,,20.23,0.73,,,0,,28,340.7
46:00,5.9,,20.27,0.7,,,0,,28,339.4
47:00,5.9,,20.27,0.74,,,0,,28,355.1
48:00,5.9,,20.2,0.77,,,0,,28,375.5
49:00,5.9,,20.23,0.77,,,0,,28,400.2
50:00,5.9,,20.2,0.77,,,0,,28,422.1
51:00,5.9,,20.24,0.77,,,0,,28,440
52:00,5.9,,20.23,0.77,,,0,,28,457.5
53:00,5.9,,20.23,0.77,,,0,,28,473.9
54:00,5.9,,20.26,0.77,,,0,,28,490.6
55:00,5.9,,20.23,0.77,,,0,,28,506.5
56:00,5.9,,20.27,0.77,,,0,,28,523.4
57:00,5.9,,20.19,0.78,,,0,,28,540.2
58:00,5.9,,20.24,0.78,,,0,,28,558.4
59:00,5.9,,20.24,0.78,,,0,,28,577.3
60:00,5.9,,20.29,0.72,,,0,,28,593.3
61:00,5.9,,20.28,0.7,,,0,,28,610.4
62:00,5.9,,20.32,0.68,,,0,,28,627.8
63:00,5.9,,20.31,0.66,,,0,,28,642.9
64:00,5.9,,20.34,0.64,,,0,,28,654.9
65:00,5.9,,20.37,0.63,,,0,,28,668.3
66:00,5.9,,20.35,0.61,,,0,,28,680
67:00,5.9,,20.36,0.6,,,0,,28,689.3
68:00,5.9,,20.37,0.59,,,0,,28,701.3
69:00,5.9,,20.38,0.57,,,0,,28,711.4
70:00,5.9,,20.38,0.57,,,0,,28,719.3
71:00,5.9,,20.42,0.57,,,0,,28,728.2
72:00,5.9,,20.39,0.56,,,0,,28,739
73:00,5.9,,20.43,0.55,,,0,,28,748.4
74:00,5.9,,20.4,0.55,,,0,,28,758.8
75:00,5.9,,20.42,0.54,,,0,,28,772.3
76:00,5.9,,20.41,0.54,,,0,,28,786.8
77:00,5.9,,20.42,0.53,,,0,,28,798.4
78:00,5.9,,20.43,0.52,,,0,,28,810.9
79:00,5.9,,20.44,0.52,,,0,,28,823.4
80:00,5.9,,20.44,0.51,,,0,,28,837.2
81:00,5.9,,20.43,0.5,,,0,,28,846.8
82:00,5.9,,20.44,0.49,,,0,,28,860
83:00,5.9,,20.45,0.48,,,0,,28,868.7
84:00,5.9,,20.49,0.47,,,0,,28,881.6
85:00,5.9,,20.47,0.45,,,0,,28,890.2
86:00,5.9,,20.5,0.43,,,0,,28,902.9
87:00,5.9,,20.5,0.4,,,0,,28,910.3
88:00,5.9,,20.52,0.35,,,0,,28,915.9
89:00,5.9,,20.61,0.29,,,0,,28,921.3
90:00,5.9,,20.63,0.24,,,0,,28,927.1
91:00,5.9,,20.64,0.2,,,0,,28,935
92:00,5.9,,20.67,0.19,,,0,,28,937.1
93:00,5.9,,20.66,0.19,,,0,,28,941.3
94:00,5.9,,20.66,0.19,,,0,,28,947.5
95:00,5.9,,20.66,0.21,,,0,,28,954.8
96:00,5.9,,20.66,0.21,,,0,,28,963.8
97:00,5.9,,20.64,0.21,,,0,,28,964.9
98:00,5.9,,20.67,0.21,,,0,,28,974.9
99:00,5.9,,20.64,0.21,,,0,,28,980.9
100:00,5.9,,20.67,0.21,,,0,,28,982.3
101:00,6,,20.64,0.21,,,0,,28,990.2
102:00,6,,20.67,0.21,,,0,,28,1000.8
103:00,6,,20.68,0.21,,,0,,28,1006.5
104:00,6,,20.66,0.21,,,0,,28,1014.9
105:00,6,,20.63,0.21,,,0,,28,1024.8
106:00,6,,20.64,0.21,,,0,,28,1033.8
107:00,6,,20.67,0.21,,,0,,28,1040.5
108:00,6,,20.66,0.21,,,0,,28,1051
109:00,6,,20.64,0.2,,,0,,28,1061.4
110:00,6,,20.64,0.21,,,0,,28,1071.6
111:00,6,,20.64,0.21,,,0,,28,1075.7
112:00,6,,20.66,0.2,,,0,,28,1084.5
113:00,6,,20.67,0.2,,,0,,28,1092.3
114:00,6,,20.66,0.2,,,0,,28,1098.8
115:00,6,,20.63,0.2,,,0,,28,1106
116:00,6,,20.67,0.2,,,0,,28.1,1117.7
117:00,6,,20.64,0.21,,,0,,28,1123.8
118:00,6,,20.66,0.2,,,0,,28,1132.6
119:00,6.1,,20.66,0.2,,,0,,28,1142.3
120:00,6.1,,20.65,0.2,,,0,,28,1146.5
121:00,6.1,,20.64,0.19,,,0,,28,1153.4
122:00,6.1,,20.64,0.19,,,0,,28,1160.2
123:00,6.1,,20.67,0.19,,,0,,28,1166.6
124:00,6.1,,20.64,0.19,,,0,,28,1176.7
125:00,6.1,,20.69,0.19,,,0,,28,1180.8
126:00,6.1,,20.67,0.19,,,0,,28,1191.1
127:00,6.1,,20.68,0.18,,,0,,28,1202.5
128:00,6.1,,20.64,0.18,,,0,,28,1216
129:00,6.1,,20.68,0.18,,,0,,28,1221.7
130:00,6.1,,20.68,0.18,,,0,,28,1232.5
131:00,6.1,,20.67,0.18,,,0,,28,1242
132:00,6.1,,20.72,0.17,,,0,,28,1246.4
133:00,6.2,,20.72,0.18,,,0,,28,1259.4
134:00,6.2,,20.7,0.18,,,0,,28,1265.9
135:00,6.2,,20.7,0.17,,,0,,28,1270.5
136:00,6.2,,20.7,0.17,,,0,,28,1280.3
137:00,6.2,,20.66,0.17,,,0,,28,1279.2
138:00,6.2,,20.72,0.18,,,0,,28,1296.8
139:00,6.2,,20.71,0.18,,,0,,28,1293.2
140:00,6.2,,20.7,0.17,,,0,,28,1313.7
141:00,6.2,,20.67,0.18,,,0,,28,1317.5
142:00,6.2,,20.67,0.17,,,0,,28,1328.9
143:00,6.2,,20.7,0.17,,,0,,28,1335
144:00,6.2,,20.69,0.17,,,0,,28,1337.2
145:00,6.2,,20.71,0.16,,,0,,28,1348.3
146:00,6.2,,20.7,0.16,,,0,,28,1357.8
147:00,6.2,,20.7,0.16,,,0,,28,1352.3
148:00,6.2,,20.7,0.15,,,0,,28,1369
149:00,6.2,,20.69,0.16,,,0,,28,1377.7
150:00,6.2,,20.71,0.16,,,0,,28,1386
151:00,6.2,,20.71,0.16,,,0,,28,1390.7
152:00,6.3,,20.73,0.15,,,0,,28,1400.1
153:00,6.3,,20.7,0.15,,,0,,28,1413.9
154:00,6.3,,20.73,0.11,,,0,,28,1413
155:00,6.3,,20.72,0.1,,,0,,28,1418.8
156:00,6.3,,20.76,0.09,,,0,,28,1419
157:00,6.3,,20.76,0.09,,,0,,28,1416.9
158:00,6.3,,20.77,0.09,,,0,,28,1429.4
159:00,6.3,,20.76,0.08,,,0,,28,1419.5
160:00,6.3,,20.73,0.09,,,0,,28,1420.9
161:00,6.3,,20.77,0.08,,,0,,28,1421.9
162:00,6.3,,20.77,0.08,,,0,,28,1425.9
163:00,6.3,,20.79,0.08,,,0,,28,1427.2
164:00,6.3,,20.76,0.08,,,0,,28,1427
165:00,6.3,,20.77,0.07,,,0,,28,1433.4
166:00,6.3,,20.77,0.07,,,0,,28,1427.1
167:00,6.3,,20.74,0.06,,,0,,28,1428.2
168:00,6.3,,20.78,0.06,,,0,,28,1425.1
169:00,6.3,,20.78,0.06,,,0,,28,1419.8
170:00,6.3,,20.8,0.06,,,0,,28,1416.6
171:00,6.3,,20.77,0.06,,,0,,28,1414.9
172:00,6.3,,20.8,0.05,,,0,,28,1417.3
173:00,6.3,,20.78,0.05,,,0,,28,1410.3
174:00,6.3,,20.77,0.05,,,0,,28,1413.7
175:00,6.3,,20.83,0.05,,,0,,28,1411.5
176:00,6.3,,20.82,0.05,,,0,,28,1405.3
177:00,6.3,,20.82,0.05,,,0,,28,1413.2
178:00,6.3,,20.79,0.05,,,0,,28,1412.8
179:00,6.3,,20.78,0.05,,,0,,28,1414.9
180:00,6.3,,20.78,0.05,,,0,,28,1406.5
181:00,6.3,,20.77,0.05,,,0,,28,1410.8
182:00,6.3,,20.79,0.05,,,0,,28,1405.4
183:00,6.3,,20.79,0.05,,,0,,28,1414.4
