Time (h),Oda
0:00,14.5
1:00,15.2
2:00,16.3
3:00,18.3
4:00,20
5:00,21.3
6:00,21
7:00,20
8:00,18.9
9:00,18.4
10:00,18.2
11:00,19.3
12:00,20.2
13:00,22.2
14:00,24.3
15:00,25.7
16:00,26.5
17:00,27.6
18:00,27
19:00,26.8
20:00,26.7
21:00,26.5
22:00,26.1
23:00,25.7
24:00,25.8
25:00,25.3
26:00,25.5
27:00,25.4
28:00,25.5
29:00,25.1
30:00,25.2
31:00,25.3
32:00,25.3
33:00,24.5
34:00,25.1
35:00,24.7
36:00,24.5
37:00,24.8
38:00,24.5
39:00,24.5
40:00,24
41:00,24.8
42:00,24.5
43:00,24.5
44:00,24.2
45:00,24.4
46:00,24.3
47:00,24.6
48:00,24.5
49:00,24.9
50:00,24.3
51:00,24.7
52:00,24.4
53:00,24.2
54:00,24.2
55:00,24.1
56:00,23.8
57:00,24
58:00,24.2
59:00,24.3
60:00,24.1
61:00,23.9
62:00,23.5
63:00,23.8
64:00,24
65:00,23.7
66:00,23.9
67:00,23.1
68:00,23.6
69:00,23.7
70:00,23.8
71:00,23.3
72:00,23.5
73:00,23.2
74:00,23.1
75:00,23
76:00,23.2
77:00,22.5
78:00,22.7
79:00,22.7
80:00,22.7
81:00,23
82:00,22.9
83:00,22.8
84:00,23.3
85:00,23.3
86:00,23
87:00,23.8
88:00,23.9
89:00,23.9
90:00,24.9
91:00,25.4
92:00,25.8
93:00,25.6
94:00,26.4
95:00,27
96:00,27.4
97:00,28.6
98:00,28.4
99:00,30
100:00,30.6
101:00,31.4
102:00,32.9
103:00,34.2
104:00,35
105:00,35.6
106:00,37.4
107:00,38.5
108:00,40.5
109:00,41.8
110:00,42.5
111:00,44
112:00,45.2
113:00,46.2
114:00,48.2
115:00,49.8
116:00,52.9
117:00,54.5
118:00,57.3
119:00,58.8
120:00,61.1
121:00,64.2
122:00,66.5
123:00,70.9
124:00,73.4
125:00,76.9
126:00,79.9
127:00,83.6
128:00,87.7
129:00,89.4
130:00,96.9
131:00,100.8
132:00,108.1
133:00,113.4
134:00,119
135:00,126.8
136:00,131.3
137:00,141.2
138:00,146.6
139:00,153.9
140:00,159.4
141:00,169
142:00,178.6
143:00,184.8
144:00,193.5
145:00,207.2
146:00,210.7
147:00,220.9
148:00,234.5
149:00,252
150:00,265.5
151:00,268.5
152:00,286.2
153:00,297
154:00,306.6
155:00,312.8
156:00,327.3
157:00,334.2
158:00,343.1
159:00,348.7
160:00,355.2
161:00,366.4
162:00,377.4
163:00,380
164:00,390.9
165:00,395.5
166:00,406.8
167:00,402.9
168:00,412.6
169:00,413.7
170:00,421.2
171:00,425.9
172:00,432.8
173:00,439.1
174:00,443.8
175:00,452.1
176:00,455.9
177:00,463.4
178:00,468.4
179:00,471
180:00,473.3
181:00,479.4
182:00,480.2
183:00,479.2
184:00,484.1
185:00,486.3
186:00,495.2
187:00,495.3
188:00,495.7
189:00,502.4
190:00,502.9
191:00,504.8
192:00,504.5
193:00,516.4
194:00,517
195:00,518.1
196:00,519.2
197:00,527.8
198:00,535
199:00,540.9
200:00,548.5
201:00,550.3
202:00,550.1
203:00,551
204:00,558.4
205:00,561.7
206:00,572.9
207:00,575.4
208:00,574.1
209:00,578.7
210:00,579.8
211:00,587.3
212:00,586.8
213:00,595.1
214:00,593.1
215:00,604.7
216:00,604
217:00,615.9
218:00,611.7
219:00,618.9
220:00,615
221:00,628.7
222:00,627.2
223:00,631.4
224:00,635.9
225:00,643.7
226:00,648.4
227:00,646.9
228:00,651.3
229:00,655.7
230:00,663.1
231:00,664.8
232:00,672.2
233:00,671.6
234:00,676.1
235:00,682.9
236:00,686
237:00,695.7
238:00,692.6
239:00,696.1
240:00,699.2
241:00,700.5
242:00,708.5
243:00,708.5
244:00,715.8
245:00,716.3
246:00,721.5
247:00,726.6
248:00,724.6
249:00,734.7
250:00,738.1
251:00,744.5
252:00,745.4
253:00,753.4
254:00,756
255:00,764.5
256:00,757.6
257:00,762.1
258:00,758
259:00,760
260:00,764.3
261:00,762.6
262:00,759
263:00,739
264:00,744.8
265:00,745.8
266:00,744.3
267:00,745.2
268:00,741.2
269:00,745.4
270:00,739.2
271:00,744.1
272:00,739.9
273:00,743.2
274:00,738.9
275:00,744.9
276:00,741
277:00,740.3
278:00,744
279:00,738.9
280:00,731.4
281:00,736
282:00,734.4
283:00,739
284:00,735.1
285:00,739.6
286:00,742.4
287:00,736.9
288:00,745
289:00,736.6
290:00,742.1
291:00,752.3
292:00,753.1
293:00,751.4
294:00,754.5
295:00,750.1
296:00,745
297:00,754.2
298:00,748.3
299:00,754.5
300:00,759.1
301:00,753.7
302:00,761.4
303:00,755.9
